t,p_1,p_2
1,0.0043,0.02
2,0.0045,0.02
3,0.0048,0.02
4,0.0056,0.02
5,0.0064,0.03
6,0.0076,0.03
7,0.0088,0.03
8,0.0099,0.03
9,0.011,0.03
10,0.012,0.03
11,0.013,0.035
12,0.014,0.04
13,0.015,0.04
14,0.016,0.04
15,0.017,0.04
16,0.018,0.045
17,0.019,0.045
18,0.02,0.045
19,0.021,0.045
20,0.022,0.045
21,0.023,0.05
22,0.024,0.05
23,0.026,0.055
24,0.026,0.05
25,0.028,0.055
26,0.029,0.055
27,0.03,0.055
28,0.031,0.055
29,0.032,0.055
30,0.033,0.06
31,0.034,0.06
32,0.035,0.06
33,0.036,0.06
34,0.037,0.065
35,0.038,0.065
36,0.039,0.07
37,0.04,0.07
38,0.041,0.07
39,0.041,0.07
40,0.043,0.07
41,0.044,0.07
42,0.046,0.075
43,0.047,0.08
44,0.048,0.08
45,0.049,0.08
46,0.05,0.08
47,0.051,0.08
48,0.052,0.09
49,0.053,0.09
50,0.054,0.09
51,0.055,0.09
52,0.056,0.09
53,0.057,0.09
54,0.059,0.09
55,0.06,0.09
56,0.061,0.09
57,0.062,0.095
58,0.063,0.09
59,0.064,0.1
60,0.065,0.11
65,0.071,0.11
70,0.076,0.12
75,0.082,0.12
80,0.088,0.13
85,0.093,0.14
90,0.099,0.14
95,0.11,0.15
100,0.11,0.16
105,0.12,0.17
110,0.12,0.17
115,0.13,0.17
120,0.13,0.19
130,0.15,0.2
140,0.16,0.21
150,0.17,0.22
160,0.18,0.24
170,0.19,0.25
180,0.2,0.27
190,0.22,0.28
200,0.23,0.3
210,0.24,0.31
220,0.25,0.34
230,0.26,0.35
240,0.1,0.36
250,0.13,0.39
260,0.14,0.4
270,0.16,0.41
280,0.18,0.43
290,0.19,0.45
300,0.21,0.46
320,0.23,0.48
340,0.25,0.52
360,0.29,0.55
380,0.32,0.58
400,0.35,0.61
420,0.39,0.64
440,0.41,0.66
460,0.44,0.69
480,0.52,0.76
500,0.56,0.79
520,0.6,0.83
540,0.63,0.86
560,0.67,0.89
580,0.71,0.92
600,0.76,0.96
660,0.89,1.07
720,1,1.17
780,1.2,1.28
810,1.2,1.33
